patent_id,patent_title,grant_date,assignee_organization,cpc_codes,citation_count,created_at
10524670,Accurate calorimetry for intermittent exercises,2020-01-07,Apple Inc.,"{A61B2560/0204,A61B2560/0242,A61B2560/0475,A61B2562/0219,A61B5/0002,A61B5/0004,A61B5/0205,A61B5/02416,A61B5/02438,A61B5/1112,A61B5/1116,A61B5/1118,A61B5/112,A61B5/1121,A61B5/1123,A61B5/222,A61B5/4866,A61B5/4884,A61B5/681,A61B5/6898,A61B5/7221,A61B5/7246,A61B5/725,A61B5/7264,A61B5/7275,A63B22/0605,G01C22/006}",0,2026-04-18 15:44:40.513522+06
10524671,Electronic device that computes health data,2020-01-07,Apple Inc.,"{A61B2562/0257,A61B5/0077,A61B5/0205,A61B5/02055,A61B5/021,A61B5/02416,A61B5/02438,A61B5/0245,A61B5/0261,A61B5/0537,A61B5/14551,A61B5/318,A61B5/6898,A61B5/70,A61B5/7203,A61B5/7405,A61B5/742,A61B5/7455}",0,2026-04-18 15:44:40.513522+06
10524735,Detecting conditions using heart rate sensors,2020-01-07,Apple Inc.,"{A61B2505/07,A61B2560/0209,A61B2562/0219,A61B5/0006,A61B5/02405,A61B5/02416,A61B5/02433,A61B5/02438,A61B5/02455,A61B5/1118,A61B5/349,A61B5/361,A61B5/681,A61B5/6824,A61B5/6898,A61B5/721,A61B5/7221,A61B5/7235,A61B5/7282,A61B5/742,A61B5/746,G04G21/025,G16H40/63,G16H50/20}",0,2026-04-18 15:44:40.513522+06
10526731,Conductive signal paths in woven fabrics,2020-01-07,Apple Inc.,"{D03D1/0088,D03D13/00,D03D3/005,D10B2401/16,G06F2203/04102,G06F3/0445,G06F3/0446}",0,2026-04-18 15:44:40.513522+06
10527503,Reference circuit for metrology system,2020-01-07,Apple Inc.,"{G01K15/005,G01K17/00,G01K7/203,G01R19/0084,G01R31/2644}",0,2026-04-18 15:44:40.513522+06
10527765,Surfaces having structured optical appearances,2020-01-07,Apple Inc.,"{G02B1/10,G02B5/206,G02B5/286}",0,2026-04-18 15:44:40.513522+06
10528127,Method for operating an eye tracking device and eye tracking device for providing an active power management,2020-01-07,Apple Inc.,"{G06F1/3206,G06F1/325,G06F3/013,G06V40/19,H04N23/56,H04N23/651,H04N23/90}",0,2026-04-18 15:44:40.513522+06
10528139,"Devices, methods, and graphical user interfaces for haptic mixing",2020-01-07,Apple Inc.,"{G06F1/1684,G06F3/016,G06F3/0481,G06F3/0488,G06F3/04883,G06F3/04886,G06F3/16,G06F3/167}",0,2026-04-18 15:44:40.513522+06
10528152,Mixed input lighting using multiple light sources with switchable operational state,2020-01-07,Apple Inc.,"{G01J1/4204,G06F1/1662,G06F15/0216,G06F3/0202,H01H2219/039}",0,2026-04-18 15:44:40.513522+06
10528243,User interface camera effects,2020-01-07,Apple Inc.,"{G06F3/04817,G06F3/0482,G06F3/04847,G06F3/04883,H04N1/6027,H04N23/611,H04N23/62,H04N23/63,H04N23/632,H04N23/64,H04N23/65,H04N23/651,H04N23/667,H04N23/67,H04N23/69,H04N23/90}",0,2026-04-18 15:44:40.513522+06
10528281,Compressed freezer files,2020-01-07,Apple Inc.,"{G06F12/08,G06F12/1009,G06F12/1027,G06F12/109,G06F2212/1016,G06F2212/401,G06F3/0604,G06F3/0632,G06F3/0643,G06F3/0679}",0,2026-04-18 15:44:40.513522+06
10528705,Determining validity of subscription to use digital content,2020-01-07,Apple Inc.,"{G06F21/10,G06F2221/2135,G06F2221/2137,G06Q20/1235}",0,2026-04-18 15:44:40.513522+06
10528709,Notifying applications of screen recording,2020-01-07,Apple Inc.,"{G06F21/1064,G06F21/6281,G06F21/645,H04N21/4135,H04N21/41407,H04N21/4147,H04N21/4334,H04N21/43622,H04N21/4402,H04N21/4627}",0,2026-04-18 15:44:40.513522+06
10528770,System and method for remotely initiating lost mode on a computing device,2020-01-07,Apple Inc.,"{G02B2027/0174,G02B2027/0178,G02B27/0172,G06F21/88,G06F2221/2105,G06F2221/2111,G06F2221/2143,G06F3/014,G06F3/017,G06T19/006,G06T7/11,G06T7/136,G06V20/20,H04L41/026,H04L67/52,H04W12/082,H04W12/12,H04W12/126,H04W12/30,H04W12/63,H04W4/029}",0,2026-04-18 15:44:40.513522+06
10528847,Method of providing image feature descriptors,2020-01-07,Apple Inc.,"{G06F18/2113,G06F18/217,G06F18/28,G06V10/40,G06V10/462,G06V10/771,G06V10/772}",0,2026-04-18 15:44:40.513522+06
10528872,Methods and system for managing predictive models,2020-01-07,Apple Inc.,"{G06N20/00,G06N5/04,G06N5/043,H04L67/10}",0,2026-04-18 15:44:40.513522+06
10529053,Adaptive pixel uniformity compensation for display panels,2020-01-07,Apple Inc.,"{G06T3/40,G06T5/92,G06T7/0002,G06T7/90}",0,2026-04-18 15:44:40.513522+06
10529285,System and method for external pixel compensation,2020-01-07,Apple Inc.,"{G09G2300/043,G09G2300/0828,G09G2310/027,G09G2310/08,G09G2320/0233,G09G2320/0242,G09G2320/0285,G09G2320/0295,G09G2320/043,G09G2320/045,G09G3/3208,G09G3/3225,G09G3/3258,G09G3/3266,G09G3/3275,G09G3/3291}",0,2026-04-18 15:44:40.513522+06
